unique_id,original_owner_id
Submarine-1761378779.199818-5181,899832840487841812
Denis-1761378779.199818-2948,994823657996177458
CV-1761378779.199818-1541,898591162233925682
Kalani-1761378779.199818-2756,899832840487841812
DD-1761378779.199818-2535,730642159731998774
Rob-1761378779.199818-5581,1058715960057540728
Robrob-1761378779.199818-6589,1207314080377868322
Riyon-1761378779.199818-3224,730642159731998774
Submarine-1761378779.199818-7975,1207314080377868322
Toast-1761378779.199818-9126,898591162233925682
LB-1761378779.199818-5483,730642159731998774
Rob-1761378779.199818-1937,899832840487841812
RB-1761378779.199818-4959,835355123341066292
Kalani-1761378779.199818-6545,730642159731998774
Rob-1761378779.199818-1119,1230130106719272980
RB-1761378779.199818-8671,1230130106719272980
Pao-1761378779.199818-2049,899832840487841812
Amiel-1761378779.199818-9989,1207314080377868322
LB-1761378779.199818-3941,838304838298501130
Rifle-1761378779.199818-2228,1354044474967199766
CV-1761378779.199818-1882,897476441749471262
CV-1761378779.199818-5536,1158361006356041740
LOR-1761378779.199818-4668,891456718226223104
CA-1761378779.199818-7891,899832840487841812
TB-1761378779.199818-5243,1354044474967199766
Pao-1761378779.199818-1581,1207314080377868322
CL-1761378779.199818-3578,1207314080377868322
Submarine-1761378779.199818-1963,862454269714497556
Yoshuze-1761378779.199818-5003,838304838298501130
RPG-1761378779.199818-6801,1354044474967199766
Rifle-1761378779.199818-6434,1207314080377868322
Yoshuze-1761378779.199818-3635,862454269714497556
Parachute-1761378779.199818-8718,1187276998276546570
Jayden-1761378779.199818-8066,1207314080377868322
CA-1761378779.199818-3993,1308334905863962649
Mini-1761378779.199818-6218,1207314080377868322
Kalani-1761378779.199818-7484,1207314080377868322
Rifle-1761378779.199818-7527,1207314080377868322
Rob-1761378779.199818-6098,1207314080377868322
CL-1761378779.199818-3455,858594136264933378
Parachute-1761378779.199818-8455,1308334905863962649
RPG-1761378779.199818-6513,1207314080377868322
Robrob-1761378779.199818-4407,619909587138773023
CA-1761378779.199818-8785,1207314080377868322
SecuritySeb-1761378779.199818-7534,1207314080377868322
Taxolous-1761378779.199818-6201,1207314080377868322
Taxolous-1761378779.199818-9293,619909587138773023
Rifle-1761378779.199818-6411,619909587138773023
SecuritySeb-1761378779.199818-8961,1207314080377868322
TB-1761378779.199818-4276,1398723531822465218
SecuritySeb-1761378779.199818-7427,1207314080377868322
LOR-1761378779.199818-1116,835355123341066292
Submarine-1761378779.199818-6188,835355123341066292
SturgeonGod-1761378779.199818-2346,1024266899745406986
CA-1761378779.199818-3450,1207314080377868322
Mimic-1761378779.199818-1083,1308334905863962649
Rob-1761378779.199818-7299,862454269714497556
Roblocky-1761378779.199818-2465,1207314080377868322
Rifle-1761378779.199818-9006,1207314080377868322
Kairo-1761378779.199818-1847,1308334905863962649
TB-1761378779.199818-4559,1308334905863962649
Island-1761378779.199818-5135,1207314080377868322
nygiantfan-1761378779.199818-6295,1207314080377868322
nygiantfan-1761378779.199818-8700,897476441749471262
Korian-1761378779.199818-7305,1207314080377868322
CV-1761378779.199818-2750,1308334905863962649
RPG-1761378779.199818-5439,1130376651583266826
LOR-1761378779.199818-2761,619909587138773023
Votekick-1761378779.199818-3970,1308334905863962649
Roblocky-1761378779.199818-2952,897476441749471262
RPG-1761378779.199818-8816,619909587138773023
Rob-1761378779.199818-1199,899832840487841812
Yoshuze-1761378779.199818-4619,897476441749471262
SturgeonGod-1761378779.199818-7626,898591162233925682
SecuritySeb-1761378779.199818-1674,897476441749471262
SecuritySeb-1761378779.199818-3200,898591162233925682
Parachute-1761378779.199818-1433,899832840487841812
SturgeonGod-1761378779.199818-8135,898591162233925682
Submarine-1761378779.199818-5659,897476441749471262
Submarine-1761378779.199818-2638,1354044474967199766
Yoshuze-1761378779.199818-7416,1158361006356041740
CA-1761378779.199818-7281,899832840487841812
Concept-1761378779.199818-2368,835355123341066292
LOR-1761378779.199818-3621,899832840487841812
LOR-1761378779.199818-3804,899832840487841812
Submarine-1761378779.199818-6753,897476441749471262
Rifle-1761378779.199818-2298,897476441749471262
CA-1761378779.199818-8068,899832840487841812
Samchaojack-1761378779.199818-6150,940613177178198046
LOR-1761378779.199818-5162,1308334905863962649
SecuritySeb-1761378779.199818-3670,897476441749471262
Kairo-1761378779.199818-3535,897476441749471262
Rob-1761378779.199818-7791,1308334905863962649
Robo_Layer-1761378779.199818-3470,835355123341066292
Toast-1761378779.199818-3124,1158361006356041740
BB-1761378779.199818-7933,897476441749471262
RPG-1761378779.199818-3872,835355123341066292
Wayne-1761378779.199818-5051,835355123341066292
RPG-1761378779.199818-8523,898591162233925682
CV-1761378779.199818-5875,898591162233925682
Robrob-1761378779.199818-3355,898591162233925682
Alm-1761378779.199818-5106,1308334905863962649
nygiantfan-1761378779.199818-3987,835355123341066292
Jayden-1761378779.199818-6416,1158361006356041740
BB-1761378779.199818-3906,1308334905863962649
Robrob-1761378779.199818-2851,835355123341066292
Synth-1761378779.199818-6473,994823657996177458
Nethy-1761378779.199818-5128,835355123341066292
Taxolous-1761378779.199818-9150,994823657996177458
Einherjar-1761378779.199818-2718,994823657996177458
Yoshuze-1761378779.199818-2635,858594136264933378
